ranking,disciplina,assunto,tipo_material,fonte,url_original,arquivo_local,status
1,Portugues,Compreensao e Interpretacao de Textos,,,,,pendente
2,Seguranca da Informacao,ISO IEC 27001,,,,,pendente
3,Banco de Dados,Normalizacao de Dados,,,,,pendente
4,Legislacao SUS,Constituicao Federal Saude arts 196-200,,,,,pendente
5,Legislacao EBSERH,Lei 12550 2011,,,,,pendente
6,Banco de Dados,Linguagem SQL,,,,,pendente
7,Redes,Modelo TCP IP,,,,,pendente
8,Sistemas de Saude,Prontuario Eletronico do Paciente,,,,,pendente
9,Portugues,Coesao e Coerencia Textual,,,,,pendente
10,Governanca de TI,ITIL 4 Fundamentos,,,,,pendente
